JobTitle,CompanyURL2,CompanyId,CompanyName,SalaryInsights,NoOfApplicants,CompanyLocation,EmploymentStatus,ExperienceLevel,Industries,Benefits,JobPostingUrl,PostedDate
Business Consultant (PR-1284671:CA),https://www.linkedin.com/company/pareto-usa,78102861,Pareto USA,,,"Los Angeles, CA",Full-time,Entry level,Airlines and Aviation,,https://www.linkedin.com/jobs/view/3974359256/?trk=jobs_biz_prem_srch,2024-07-12 15:33:17+00:00
Lead Data Scientist,https://www.linkedin.com/company/edgeglobal-llc,71951690,EdgeGlobal LLC,,2.0,"San Jose, CA",Contract,,,,https://www.linkedin.com/jobs/view/3974337967/?trk=jobs_biz_prem_srch,2024-07-12 15:25:32+00:00
Co-Founder,https://www.linkedin.com/company/tikelt-app,100586608,Tikelt,,,San Francisco Bay Area,Volunteer,,,,https://www.linkedin.com/jobs/view/3974344769/?trk=jobs_biz_prem_srch,2024-07-12 15:25:57+00:00
Data Annotation Manager,https://www.linkedin.com/company/essentialai,99112759,Essential AI,,53.0,"San Francisco, CA",Full-time,Mid-Senior level,"Software Development, Engineering Services",,https://www.linkedin.com/jobs/view/3967790165/?trk=jobs_biz_prem_srch,2024-07-09 20:41:04+00:00
Senior Data Scientist,https://www.linkedin.com/company/deloitte,1038,Deloitte,,,"Los Angeles, CA",Full-time,,"Accounting, IT Services and IT Consulting, Business Consulting and Services",,https://www.linkedin.com/jobs/view/3974339101/?trk=jobs_biz_prem_srch,2024-07-12 15:15:42+00:00
Data Scientist - Tooling,https://www.linkedin.com/company/flyzipline,7602863,Zipline,,61.0,"South San Francisco, CA",Full-time,Entry level,"Transportation, Logistics, Supply Chain and Storage",Vision insurance,https://www.linkedin.com/jobs/view/3969287242/?trk=jobs_biz_prem_srch,2024-07-08 23:50:27+00:00
"Data Scientist, Mid with Security Clearance",https://www.linkedin.com/company/clearancejobs,1007957,ClearanceJobs,,,"San Diego, CA",Part-time,Entry level,Defense and Space Manufacturing,"401(k), Tuition assistance",https://www.linkedin.com/jobs/view/3973679188/?trk=jobs_biz_prem_srch,2024-07-12 15:30:35+00:00
